Genes	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26
R9	-0.6241863	1.2801126	1.6566216	-0.39335603	-0.5088115	1.2372849	1.6432779	-0.3774712	-2.5318596	-2.73451
R255	0.124979086	1.2872385	0.71943146	-0.46744993	-0.11483445	1.3499268	1.4307265	-0.34778956	-1.8929447	-0.79182
R267	-0.12479266	0.49939582	0.5537761	-0.59810096	-0.46925998	0.7806153	1.5551158	-0.28054968	-1.9773853	-1.4163761
R312	0.39918837	2.1502614	1.3820604	-0.9030674	-1.7194252	1.0793047	0.97425085	-0.28692904	-1.0291934	-0.7778507
R320	0.49001747	1.0714017	0.20792179	-1.0406276	-0.8014183	1.5994173	1.5302297	-0.008466481	-1.157514	-1.3601812
R452	-0.59336376	0.19490592	0.024270969	-1.2995745	-0.35657007	0.7753551	0.47688627	-0.2667595	-1.0271624	-1.5939692
R459	-0.6642797	1.0336696	0.6456676	-0.7245231	-1.1550661	0.35935137	0.004876345	-0.03585347	-0.97702867	-1.0034554
R539	0.60532796	1.4457532	0.94688165	-0.97947735	-0.7227612	0.7732897	0.5621112	-0.52006066	-1.0597259	-1.4169711
R543	0.9937738	2.784983	1.9024855	-0.8358656	-1.6662128	1.0377599	1.1061748	-0.9594885	-2.504692	-1.9539024
R549	0.4061885	1.6929024	1.0053782	-0.38156942	-0.56284183	0.86566746	0.9254544	-0.27853778	-0.99679977	-0.118951865
